20190813:12:42:13.051 [main] INFO   Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.java.springbootdemo.SpringbootdemoApplicationTests], using SpringBootContextLoader
20190813:12:42:13.056 [main] INFO   Could not detect default resource locations for test class [com.java.springbootdemo.SpringbootdemoApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
20190813:12:42:13.058 [main] INFO   Could not detect default configuration classes for test class [com.java.springbootdemo.SpringbootdemoApplicationTests]: SpringbootdemoApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
20190813:12:42:13.234 [main] INFO   Found @SpringBootConfiguration com.java.SpringbootdemoApplication for test class com.java.springbootdemo.SpringbootdemoApplicationTests
20190813:12:42:13.379 [main] INFO   Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
20190813:12:42:13.402 [main] INFO   Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@503d687a, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6a370f4, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2abf4075, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@770d3326, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4cc8eb05, org.springframework.test.context.transaction.TransactionalTestExecutionListener@51f116b8, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@19d481b, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1f97cf0d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@140c9f39, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4d910fd6, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@26275bef, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7690781]
20190813:12:48:54.022 [main] INFO   Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.java.springbootdemo.SpringbootdemoApplicationTests], using SpringBootContextLoader
20190813:12:48:54.029 [main] INFO   Could not detect default resource locations for test class [com.java.springbootdemo.SpringbootdemoApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
20190813:12:48:54.030 [main] INFO   Could not detect default configuration classes for test class [com.java.springbootdemo.SpringbootdemoApplicationTests]: SpringbootdemoApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
20190813:12:48:54.199 [main] INFO   Found @SpringBootConfiguration com.java.SpringbootdemoApplication for test class com.java.springbootdemo.SpringbootdemoApplicationTests
20190813:12:48:54.314 [main] INFO   Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
20190813:12:48:54.331 [main] INFO   Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@503d687a, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6a370f4, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2abf4075, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@770d3326, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4cc8eb05, org.springframework.test.context.transaction.TransactionalTestExecutionListener@51f116b8, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@19d481b, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1f97cf0d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@140c9f39, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4d910fd6, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@26275bef, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7690781]
20190813:12:54:37.320 [main] INFO   Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.java.springbootdemo.SpringbootdemoApplicationTests], using SpringBootContextLoader
20190813:12:54:37.325 [main] INFO   Could not detect default resource locations for test class [com.java.springbootdemo.SpringbootdemoApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
